episode,reward,avg_reward,epsilon,duration
1,-224.1467941276728,-224.1467941276728,0.995,0.1872351169586181
2,-403.7992968916892,-313.973045509681,0.990025,0.1656970977783203
3,-138982.10382775814,-46536.68330625917,0.985074875,4.890993356704712
4,-277.5304317124187,-34971.895087622484,0.980149500625,0.2243707180023193
5,-143990.47029801382,-56775.61012970076,0.9752487531218752,4.863784313201904
6,-1849.495083226264,-47621.257621955,0.9703725093562656,0.2123684883117675
7,-366.10131991505614,-40870.521007377865,0.9655206468094844,0.1623070240020752
8,-558.336576307565,-35831.49795349408,0.960693043575437,0.2766823768615722
9,-540.6085111632942,-31910.28801545732,0.9558895783575596,0.2453455924987793
10,-127218.00330433846,-41441.05954434544,0.951110130465772,4.856638669967651
11,-699.561397331953,-37737.28698552603,0.946354579813443,0.2408456802368164
12,-371.6684761524202,-34623.48544307822,0.9416228069143756,0.1497979164123535
13,-472.8683239437639,-31996.514895452496,0.936914692879804,0.2239069938659668
14,-811.9466608382763,-29769.0457358372,0.9322301194154048,0.2973504066467285
15,-648.7633752658962,-27827.693578465773,0.9275689688183278,0.1816766262054443
16,-635.5940727397799,-26128.187359357904,0.9229311239742362,0.2475018501281738
17,-99.37384001016608,-24597.08068174921,0.918316468354365,0.2074165344238281
18,-1123.5515324234962,-23292.995729008893,0.9137248860125932,0.1453170776367187
19,-150.6332756638526,-22074.97665251705,0.9091562615825302,0.2002558708190918
20,-1131.6386951312425,-21027.80975464776,0.9046104802746175,0.1860513687133789
21,-130170.8203090787,-26225.09597152542,0.9000874278732445,4.885326623916626
22,-442.0909027591347,-25053.141195672404,0.8955869907338783,0.2198050022125244
23,-330.9458352200686,-23978.263136522302,0.8911090557802088,0.4288394451141357
24,-342.79139732420435,-22993.451814055723,0.8866535105013078,0.2291033267974853
25,-443.9139411322772,-22091.470299138786,0.8822202429488013,0.3761777877807617
26,-483.8186299785971,-21260.406773401854,0.8778091417340573,0.1988673210144043
27,-135289.64363841937,-25483.711842476576,0.8734200960253871,5.018505096435547
28,-504.21904309392,-24591.58709964148,0.8690529955452602,0.221323013305664
29,-944.6618148632348,-23776.175882924992,0.8647077305675338,0.3929414749145508
30,-763.669671653211,-23009.092342549266,0.8603841919146962,0.3074305057525635
31,-123719.32381116824,-26257.80948669826,0.8560822709551227,4.968571901321411
32,-117873.36419604944,-29120.795571365485,0.851801859600347,5.03434419631958
33,-254.2746877543628,-28246.05251428636,0.8475428503023453,0.2550461292266845
34,-240.11152464002373,-27422.348367532053,0.8433051360508336,0.2150149345397949
35,-489.7192999713122,-26652.844679887465,0.8390886103705794,0.2852623462677002
36,-742.2898435279726,-25933.107045544144,0.8348931673187264,0.2437207698822021
37,-132121.60502670557,-28803.0664504404,0.8307187014821328,5.034211158752441
38,-687.7148787371814,-28063.188777500844,0.8265651079747222,0.2668139934539795
39,-1065.8033700123428,-27370.948126026786,0.8224322824348486,0.2136027812957763
40,-673.7605342552065,-26703.518436232487,0.8183201210226743,0.3694651126861572
41,-194.3268973588944,-26056.95278894289,0.8142285204175609,0.4534878730773926
42,-118788.34629372432,-28264.843110485308,0.810157377815473,5.015132904052734
43,-326.00445240586987,-27615.102676576484,0.8061065909263957,0.2614858150482178
44,-254.4711200729012,-26993.270141201407,0.8020760579717637,0.1917221546173095
45,-413.61580477505913,-26402.61115594749,0.798065677681905,0.2768216133117676
46,-144450.4545275405,-28968.86862054734,0.7940753492934954,5.055750370025635
47,-106729.35146240742,-30623.34697888479,0.7901049725470279,5.137691020965576
48,-1367.8066805064675,-30013.85655600189,0.7861544476842928,0.4183878898620605
49,-595.3274769879877,-29413.478411532225,0.7822236754458713,0.188326358795166
50,-356.8567036196592,-28832.34597737397,0.778312557068642,0.2927742004394531
51,-418.3905435226857,-28275.20959631807,0.7744209942832988,0.5320706367492676
52,-322.33461920022955,-27737.654308296573,0.7705488893118823,0.219226598739624
53,-428.7661414131521,-27222.392267411986,0.7666961448653229,0.2736170291900635
54,-109737.2835169159,-28750.445809069464,0.7628626641409962,5.24224591255188
55,-638.5105371274054,-28239.319713215973,0.7590483508202912,0.2877395153045654
56,-315.9909290879964,-27740.68884207082,0.7552531090661897,0.3321833610534668
57,-162.58842599615457,-27256.8625189818,0.7514768435208588,0.3051199913024902
58,-47.126696592569374,-26787.729142733704,0.7477194593032545,0.3175692558288574
59,-192.22137119472012,-26336.95782457203,0.7439808620067382,0.2892177104949951
60,-550.1152236297726,-25907.177114556325,0.7402609576967045,0.329871654510498
61,-314.5766504094004,-25487.62628727523,0.736559652908221,0.274350643157959
62,-218.2683234497904,-25080.05599753612,0.7328768546436799,0.3506567478179931
63,-871.9705538585781,-24695.800673033296,0.7292124703704616,0.3680825233459472
64,-422.7025911644101,-24316.53351550408,0.7255664080186093,0.4193854331970215
65,-256.50223691985013,-23946.379188141247,0.7219385759785162,0.395918607711792
66,-414.679853580147,-23589.83828913275,0.7183288830986236,0.6812083721160889
67,-83779.10692392886,-24488.18558218941,0.7147372386831305,5.17087459564209
68,-923.339726409316,-24141.64373136912,0.7111635524897149,0.4335761070251465
69,-96861.40174587668,-25195.55326781125,0.7076077347272662,5.166447401046753
70,-78312.21095270143,-25954.362663309686,0.7040696960536299,5.188853025436401
71,-396.1170168429612,-25594.387372514386,0.7005493475733617,0.3082585334777832
72,-105663.59146476389,-26706.4596515734,0.697046600835495,5.289461374282837
73,-162.0093102745711,-26342.837044158343,0.6935613678313175,0.2150492668151855
74,-500.3106566615402,-25993.613714597577,0.6900935609921609,0.4221978187561035
75,-777.3557117417454,-25657.39694122617,0.6866430931872001,0.262688398361206
76,-564.5030472822486,-25327.22728472691,0.6832098777212641,0.2043898105621338
77,-176.6594367608427,-25000.596533454624,0.6797938283326578,0.3650310039520263
78,-98357.8660338767,-25941.0743475626,0.6763948591909945,5.2643516063690186
